subid,scope_test1,scope_test2,scope_test3,scope_test4,scope_test5,scope_test6,scope_test7,scope_test8,scope_test9,scope_test10,scope_test11,scope_test12,scope_test13,scope_test14,scope_test15,scope_test16,neg_test1,neg_test2,neg_test3,neg_test4,neg_test5,neg_test6,neg_test7,neg_test8,neg_test9,neg_test10,neg_test11,neg_test12,neg_test13,neg_test14,neg_test15,neg_test16
6,Q,N,Q,N,N,N,Q,Q,N,N,Q,Q,N,N,Q,Q,L,S,S,L,L,S,L,S,L,S,L,S,S,L,L,S
3,N,N,Q,Q,Q,Q,N,N,Q,Q,N,N,N,Q,N,Q,S,L,L,S,S,L,S,L,S,L,S,L,L,S,S,L
9,Q,N,Q,N,N,Q,N,Q,N,N,Q,Q,Q,N,Q,N,L,S,S,L,S,S,L,L,L,S,L,S,L,S,S,L
5,Q,Q,N,N,N,N,Q,Q,N,Q,N,Q,N,N,Q,Q,S,L,L,S,L,S,L,S,S,S,L,L,S,L,L,S
7,N,N,Q,Q,N,Q,N,Q,Q,Q,N,N,Q,N,Q,N,S,L,L,S,S,S,L,L,S,L,S,L,L,S,S,L
13,Q,N,Q,N,N,Q,N,Q,N,Q,N,Q,Q,N,Q,N,L,L,S,S,L,S,S,L,L,S,S,L,L,L,S,S
1,Q,Q,N,N,Q,Q,N,N,NA,NA,NA,NA,NA,NA,NA,NA,S,L,L,S,S,L,S,L,NA,NA,NA,NA,NA,NA,NA,NA
11,Q,Q,N,N,Q,Q,N,N,N,N,Q,Q,Q,N,Q,N,S,L,S,L,S,L,L,S,S,L,L,S,L,L,S,S
2,Q,N,Q,N,Q,Q,N,N,NA,NA,NA,NA,NA,NA,NA,NA,L,S,S,L,S,L,S,L,NA,NA,NA,NA,NA,NA,NA,NA
12,N,Q,N,Q,N,N,Q,Q,Q,Q,N,N,N,N,Q,Q,S,S,L,L,S,L,L,S,S,L,L,S,L,S,L,S
4,N,Q,N,Q,Q,Q,N,N,Q,N,Q,N,N,N,Q,Q,L,S,S,L,S,L,S,L,L,L,S,S,S,L,L,S
10,Q,Q,N,N,Q,N,Q,N,N,Q,N,Q,Q,Q,N,N,S,L,L,S,L,L,S,S,S,S,L,L,S,L,L,S
14,N,N,Q,Q,Q,N,Q,N,Q,N,Q,N,N,Q,N,Q,L,S,L,S,L,S,S,L,L,S,S,L,S,S,L,L
8,N,Q,N,Q,Q,N,Q,N,Q,N,Q,N,N,Q,N,Q,L,S,S,L,L,L,S,S,L,L,S,S,L,S,S,L
20,N,N,Q,Q,Q,N,Q,N,Q,Q,N,N,Q,Q,N,N,S,L,L,S,L,L,S,S,S,L,S,L,S,L,L,S
23,N,N,Q,Q,N,Q,N,Q,Q,N,Q,N,Q,Q,N,N,L,S,L,S,L,S,S,L,L,S,S,L,S,L,S,L
19,N,N,Q,Q,Q,Q,N,N,Q,N,Q,N,Q,N,Q,N,L,S,L,S,S,L,L,S,L,S,S,L,L,L,S,S
22,Q,Q,N,N,N,N,Q,Q,N,Q,N,Q,N,N,Q,Q,S,L,L,S,L,S,L,S,S,S,L,L,S,L,L,S
21,Q,N,Q,N,Q,Q,N,N,N,N,Q,Q,N,Q,N,Q,L,S,S,L,S,L,S,L,L,S,L,S,L,S,S,L
16,N,N,Q,Q,N,N,Q,Q,Q,N,Q,N,N,N,Q,Q,L,S,L,S,S,L,L,S,L,S,S,L,L,S,L,S
18,Q,Q,N,N,N,Q,N,Q,N,Q,N,Q,Q,N,Q,N,S,L,L,S,S,S,L,L,S,S,L,L,L,S,S,L
24,Q,Q,N,N,N,N,Q,Q,N,N,Q,Q,N,N,Q,Q,S,L,S,L,S,L,L,S,S,L,L,S,L,S,L,S
17,Q,N,Q,N,Q,N,Q,N,N,Q,N,Q,N,N,Q,Q,L,L,S,S,L,S,S,L,L,S,S,L,L,S,L,S
15,N,Q,N,Q,N,Q,N,Q,Q,Q,N,N,Q,Q,N,N,S,S,L,L,L,S,S,L,S,L,L,S,S,L,S,L
