subid,sex,age,education,english_age,english_exposure
182673,F,26,university,age8-15,year0-1
871522,M,27,graduate,age8-15,year2-3
410960,M,26,highschool,age8-15,year>3
134412,M,23,highschool,age>15,year>3
171402,F,23,highschool,age8-15,year0-1
567155,M,24,graduate,age3-7,year0-1
25450,F,30,graduate,age3-7,year2-3
174424,F,23,university,age8-15,year>3
471565,F,40,university,age8-15,year>3
450641,F,35,highschool,age8-15,year2-3
133585,M,26,university,age8-15,year>3
425532,F,45,university,age>15,year>3
278465,F,20,highschool,age3-7,year>3
836556,M,43,graduate,age>15,year>3
207921,F,33,university,age8-15,year0-1
769253,F,38,university,age>15,year>3
833857,F,36,university,age>15,year>3
122507,M,27,graduate,age>15,year2-3
515155,M,34,university,age>15,year0-1
254037,M,43,graduate,age>15,year>3
425451,F,18,highschool,age3-7,year0-1
779843,F,33,university,age8-15,year1-2
773830,M,32,university,age>15,year>3
544633,F,36,university,age>15,year2-3
462533,F,30,university,age8-15,year2-3
891247,F,28,university,age>15,year>3
234727,M,26,highschool,age>15,year>3
864633,M,40,university,age8-15,year0-1
435252,F,45,university,age8-15,year2-3
110190,F,20,highschool,age3-7,year>3
390507,F,36,graduate,age8-15,year0-1
984782,F,48,graduate,age8-15,year>3
162646,F,30,university,age8-15,year2-3
964925,M,28,graduate,age8-15,year>3
770422,M,23,highschool,age>15,year1-2
442285,M,29,graduate,age>15,year2-3
913582,M,24,highschool,age8-15,year0-1
435687,F,24,university,age8-15,year0-1
903642,M,31,university,age>15,year>3
868891,M,39,university,age8-15,year2-3
721736,F,38,graduate,age8-15,year>3
547984,M,34,university,age8-15,year0-1
741116,M,28,university,age8-15,year1-2
450562,M,22,university,age>15,year1-2
755509,F,40,graduate,age>15,year0-1
307267,M,38,graduate,age0-2,year0-1
910386,F,34,university,age0-2,year2-3
155704,M,43,graduate,age8-15,year>3
198137,F,26,university,age3-7,year1-2
