subid,trial,item,scope,neg_type,quant,answer
856342,training1,training1,,NA,NA,yes
856342,training2,training2,,NA,NA,no
856342,test6,paper,NQ,long,regular,yes
856342,test1,book,QN,short,regular,yes
856342,test3,triangle,QN+,short,moreThan,yes
856342,test4,pencil,NQ+,short,moreThan,yes
856342,test8,cup,NQ+,long,moreThan,yes
856342,test5,bowling,QN,long,regular,yes
856342,test7,box,QN+,long,moreThan,yes
182673,training1,training1,,NA,NA,yes
182673,training2,training2,,NA,NA,no
182673,test6,bowling,NQ,long,regular,yes
182673,test8,book,NQ+,long,moreThan,yes
182673,test1,paper,QN,short,regular,no
182673,test3,box,QN+,short,moreThan,no
182673,test7,cup,QN+,long,moreThan,no
182673,test2,pencil,NQ,short,regular,no
182673,test5,balloon,QN,long,regular,yes
182673,test4,triangle,NQ+,short,moreThan,no
871522,training1,training1,,NA,NA,yes
871522,training2,training2,,NA,NA,no
871522,test3,cup,QN+,short,moreThan,no
871522,test6,box,NQ,long,regular,yes
871522,test4,pencil,NQ+,short,moreThan,yes
871522,test7,book,QN+,long,moreThan,no
871522,test1,triangle,QN,short,regular,yes
871522,test8,balloon,NQ+,long,moreThan,yes
871522,test5,bowling,QN,long,regular,no
871522,test2,paper,NQ,short,regular,yes
410960,training1,training1,,NA,NA,yes
410960,training2,training2,,NA,NA,no
410960,test2,triangle,NQ,short,regular,no
410960,test5,box,QN,long,regular,yes
410960,test4,bowling,NQ+,short,moreThan,yes
410960,test3,pencil,QN+,short,moreThan,yes
410960,test7,balloon,QN+,long,moreThan,yes
410960,test8,book,NQ+,long,moreThan,no
410960,test1,paper,QN,short,regular,yes
410960,test6,cup,NQ,long,regular,no
134412,training1,training1,,NA,NA,yes
134412,training2,training2,,NA,NA,no
134412,test1,cup,QN,short,regular,yes
134412,test2,bowling,NQ,short,regular,no
134412,test5,pencil,QN,long,regular,yes
134412,test8,paper,NQ+,long,moreThan,yes
134412,test3,balloon,QN+,short,moreThan,no
134412,test7,box,QN+,long,moreThan,yes
134412,test4,book,NQ+,short,moreThan,yes
134412,test6,triangle,NQ,long,regular,yes
171402,training1,training1,,NA,NA,yes
171402,training2,training2,,NA,NA,no
171402,test5,bowling,QN,long,regular,yes
171402,test2,paper,NQ,short,regular,no
171402,test1,box,QN,short,regular,yes
171402,test3,triangle,QN+,short,moreThan,yes
171402,test8,book,NQ+,long,moreThan,yes
171402,test6,cup,NQ,long,regular,yes
171402,test7,pencil,QN+,long,moreThan,no
171402,test4,balloon,NQ+,short,moreThan,no
567155,training1,training1,,NA,NA,yes
567155,training2,training2,,NA,NA,no
567155,test5,balloon,QN,long,regular,no
567155,test7,triangle,QN+,long,moreThan,no
567155,test1,bowling,QN,short,regular,no
567155,test8,paper,NQ+,long,moreThan,yes
567155,test3,pencil,QN+,short,moreThan,no
567155,test2,box,NQ,short,regular,yes
567155,test4,book,NQ+,short,moreThan,no
567155,test6,cup,NQ,long,regular,yes
25450,training1,training1,,NA,NA,yes
25450,training2,training2,,NA,NA,no
25450,test2,box,NQ,short,regular,yes
25450,test7,balloon,QN+,long,moreThan,no
25450,test5,pencil,QN,long,regular,no
25450,test1,triangle,QN,short,regular,yes
25450,test8,book,NQ+,long,moreThan,yes
25450,test4,bowling,NQ+,short,moreThan,yes
25450,test6,paper,NQ,long,regular,no
25450,test3,cup,QN+,short,moreThan,no
174424,training1,training1,,NA,NA,yes
