subid,time,sex,age,education,english_age,english_exposure
742104,26-8 17:59:17,F,20,highschool,age8-15,year0-1
141500,26-8 18:28:11,F,31,university,age3-7,year>3
427759,26-8 18:54:9,M,43,graduate,age>15,year>3
921479,26-8 19:0:12,M,20,university,age8-15,year>3
728061,26-8 19:10:23,F,34,university,age8-15,year>3
322156,27-8 9:17:49,F,46,graduate,age8-15,year1-2
130452,26-8 21:6:29,F,35,university,age8-15,year0-1
717673,26-8 23:18:7,M,20,highschool,age>15,year>3
453579,26-8 23:34:39,M,32,university,age>15,year1-2
330602,27-8 13:2:57,F,37,university,age8-15,year0-1
36761,27-8 0:53:46,M,23,university,age3-7,year2-3
123863,27-8 1:9:20,M,34,graduate,age8-15,year0-1
184859,27-8 7:40:25,F,35,university,age8-15,year2-3
108631,27-8 7:46:10,M,35,highschool,age8-15,year2-3
276393,27-8 8:5:45,M,42,university,age>15,year2-3
342914,27-8 10:15:13,F,23,university,age8-15,year1-2
35681,27-8 10:20:11,M,40,graduate,age>15,year2-3
956071,27-8 13:33:36,M,30,university,age8-15,year1-2
165426,27-8 19:5:46,M,28,highschool,age3-7,year>3
834024,27-8 22:40:53,M,17,elementary,age8-15,year2-3
306674,19-9 20:27:10,M,24,highschool,age8-15,year0-1
342397,19-9 22:33:47,M,30,graduate,age8-15,year0-1
829115,19-9 22:38:42,F,42,university,age8-15,year>3
628708,20-9 0:53:59,F,41,graduate,age>15,year2-3
327592,20-9 7:58:45,M,21,highschool,age>15,year>3
238316,20-9 14:13:59,F,28,graduate,age8-15,year>3
44607,20-9 14:15:23,M,31,graduate,age8-15,year2-3
159891,20-9 14:32:41,M,31,graduate,age8-15,year0-1
203638,20-9 14:35:16,F,27,graduate,age0-2,year0-1
605207,20-9 14:43:29,F,34,university,age>15,year>3
544855,20-9 14:47:42,F,34,graduate,age8-15,year2-3
316340,20-9 14:52:57,F,31,graduate,age8-15,year1-2
135904,20-9 15:16:29,M,25,graduate,age3-7,year>3
81441,21-9 1:46:30,F,38,university,age3-7,year>3
137654,21-9 0:29:55,M,31,university,age>15,year1-2
385989,21-9 0:32:53,M,34,university,age>15,year1-2
274190,21-9 1:7:18,F,24,highschool,age8-15,year0-1
503989,21-9 8:47:51,M,32,university,age8-15,year>3
611179,21-9 12:51:15,F,45,graduate,age8-15,year2-3
756485,21-9 13:44:3,F,29,graduate,age8-15,year0-1
